"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"001","27079","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","1:40 PM - 4:30 PM","Ho, Vivian","OL 01","7","20","Online Sync",
"003","29646","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","SU","9:10 AM - 12:00 PM","Qamar, Zohaib","PH 110","17","35","In-Person",
"002","28681","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","12:10 PM - 2:00 PM","Xiao, Jian","PH 110","10","35","In-Person",
"006","28484","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","1:40 PM - 3:30 PM","Sun, Tao","RE 100","8","95","In-Person",
"007","28483","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","10:05 AM - 11:55 AM","Sun, Fang","PH 202","23","30","In-Person",
"005","28936","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","10:05 AM - 11:55 AM","Huang, Qianyun (Ivy)","RE 101","23","95","In-Person",
"008","33779","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","10:05 AM - 11:55 AM","Xiao, Jian","PH 302","0","20","In-Person",
"009","28680","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","2:15 PM - 4:05 PM",", ","PH 110","0","35","In-Person",
"004","28740","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","1:40 PM - 3:30 PM","Calamari, Joseph","PH 112","35","35","In-Person",
"001","28772","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 116","8","30","Hybrid Sync",
"001","28935","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","M, W","10:05 AM - 11:55 AM","Suh, Jangwon","RE 100","48","95","In-Person",
"002","28915","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","12:10 PM - 2:00 PM","Sun, Fang","SB B137","74","95","In-Person",
"001","28777","ACCT 201 (4, 4)","Intermediate Accounting l","M, W","10:05 AM - 11:55 AM","Mazzo, Mark","PH 012","35","35","In-Person",
"002","28482","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","10:05 AM - 11:55 AM","Sun, Tao","PH 012","35","35","In-Person",
"003","33750","ACCT 201 (4, 4)","Intermediate Accounting l","M, W","1:40 PM - 3:30 PM","Sun, Tao","QH 315C","35","35","In-Person",
"002","28514","ACCT 202 (3, 2)","Intermediate Accounting II","T, TH","3:10 PM - 4:25 PM","Kumar, Vijay","RA 208","27","35","In-Person",
"001","28742","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","3:10 PM - 4:25 PM","Fitzsimons, Sean","PH 012","10","35","In-Person",
"003","28686","ACCT 202 (3, 2)","Intermediate Accounting II","T, TH","12:15 PM - 1:30 PM","Kumar, Vijay","PH 112","35","35","In-Person",
"005","28687","ACCT 261 (3, 3)","Business Law I","T, TH","9:15 AM - 10:30 AM","Stein, Randy","PH 110","35","35","In-Person",
"002","28688","ACCT 261 (3, 3)","Business Law I","T, TH","3:10 PM - 4:25 PM","Altman, Julie","PH 012","35","35","In-Person",
"001","28187","ACCT 261 (3, 3)","Business Law I","T, TH","5:00 PM - 6:15 PM","Altman, Julie","PH 112","35","35","In-Person",
"004","28398","ACCT 261 (3, 3)","Business Law I","M, W","6:30 PM - 7:45 PM","Kirschner, David","PH 110","11","35","In-Person",
"003","28741","ACCT 261 (3, 3)","Business Law I","M, W","1:40 PM - 2:55 PM","Herczog, Leo","PH 110","35","35","In-Person",
"002","28191","ACCT 305 (3, 2)","Cost Accounting","T, TH","5:00 PM - 6:15 PM","Xiao, Jian","PH 110","28","35","In-Person",
"003","29108","ACCT 305 (3, 2)","Cost Accounting","W","6:30 PM - 9:20 PM","Qureshi, Anique","OL 01","36","35","Online Sync",
"001","28717","ACCT 305 (3, 2)","Cost Accounting","M, W","1:40 PM - 2:55 PM","Mazzo, Mark","RA 202","35","35","In-Person",
"03","29746","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","3:10 PM - 5:00 PM","Stevens, Michael","PH 110","28","35","In-Person",
"02","29106","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","8:00 AM - 9:50 AM","Adelberg, Arthur","OL 01","31","30","Online Sync",
"01","29105","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","12:10 PM - 2:00 PM","Adelberg, Arthur","OL 01","31","30","Online Sync",
"002","28736","ACCT 311 (4, 3)","Advanced Accounting","M, W","1:40 PM - 3:30 PM","Huang, Qianyun (Ivy)","PH 116","41","40","In-Person",
"001","29645","ACCT 311 (4, 3)","Advanced Accounting","SU","1:00 PM - 4:50 PM","Balkaran, Dianand","PH 116","40","40","In-Person",
"002","28677","ACCT 321 (4, 3)","Auditing I","T, TH","8:00 AM - 9:50 AM","Dauber, Nicky","PH 116","37","35","In-Person",
"001","28773","ACCT 321 (4, 3)","Auditing I","M, W","10:05 AM - 11:55 AM","Dauber, Nicky","PH 116","36","35","Hybrid Sync",
"002","28190","ACCT 322 (3, 3)","Auditing II","T, TH","6:30 PM - 7:45 PM","Xiao, Jian","PH 110","19","35","In-Person",
"001","28743","ACCT 322 (3, 3)","Auditing II","M, W","1:40 PM - 2:55 PM","Fitzsimons, Sean","PH 012","35","35","In-Person",
"001","29104","ACCT 341 (3, 3)","Accounting Information Systems","M, W","5:00 PM - 6:15 PM","Qureshi, Anique","OL 01","41","40","Online Sync",
"002","29103","ACCT 341 (3, 3)","Accounting Information Systems","M, W","9:15 AM - 10:30 AM","Solieri, Steven","OL 01","40","40","Online Sync",
"001","29102","ACCT 343 (3, 3)","Microcomputer Applications","M","6:30 PM - 9:20 PM","Qureshi, Anique","OL 01","30","30","Online Sync",
"001","54721","ACCT 350 (3, 3)","Financial Statement Analysis","M, W","3:10 PM - 4:25 PM","Mazzo, Mark","RA 202","1","35","In-Person",
"001","28775","ACCT 362 (3, 3)","Business Law II","M, W","10:45 AM - 12:00 PM","Herczog, Leo","PH 112","23","30","In-Person",
"002","29575","ACCT 362 (3, 3)","Business Law II","SU","9:10 AM - 12:00 PM","Katz, Jeffrey","PH 112","15","30","In-Person",
"001","28612","ACCT 362W (3, 3)","Business Law II","T, TH","9:15 AM - 10:30 AM","Linn, David","PH 253","25","25","In-Person",
"001","28774","ACCT 363 (3, 3)","Business Law III","M, W","9:15 AM - 10:30 AM","Herczog, Leo","PH 112","14","30","In-Person",
"004","51806","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","M, W","4:30 PM - 6:20 PM","Kumar, Vijay","PH 116","35","35","In-Person",
"001","28776","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","M, W","10:05 AM - 11:55 AM","Calamari, Joseph","PH 110","35","35","In-Person",
"002","29101","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","SU","1:00 PM - 4:50 PM","Blumenfrucht, Israel","OL 01","36","35","Online Sync",
"003","29100","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","T, TH","10:05 AM - 11:55 AM","Blumenfrucht, Israel","OL 01","35","35","Online Sync",
"001","29576","ACCT 372 (3, 3)","Gov &amp; Not for Profit Acct&amp;Aud","SU","9:10 AM - 12:00 PM","Balkaran, Dianand","PH 116","41","40","In-Person",
"002","28679","ACCT 372 (3, 3)","Gov &amp; Not for Profit Acct&amp;Aud","T, TH","3:10 PM - 4:25 PM","Xiao, Jian","PH 112","40","40","In-Person",
"002","29099","ACCT 385 (3, 3)","Data Analytics for Accountants","T","6:30 PM - 9:20 PM","Solieri, Steven","OL 01","35","35","Online Sync",
"001","27443","ACCT 385 (3, 3)","Data Analytics for Accountants","M, W","3:10 PM - 4:25 PM","Solieri, Steven","PH 212","30","30","Hybrid Sync",
"001","28189","ACCT 712 (3, 3)","Adv Fin Acct Theory","TH","6:30 PM - 9:20 PM","Uddin, Md","PH 112","1","20","In-Person",
"001","29573","ACCT 723 (3, 3)","Adv Auditing Theory","F","6:30 PM - 9:20 PM","Zarate, Gloria","PH 110","4","20","In-Person",
"001","28379","ACCT 747 (3, 3)","Tax &amp; Accounting Communication","M","6:30 PM - 9:20 PM","Kumar, Vijay","PH 112","5","20","In-Person",
"001","28188","ACCT 748 (3, 3)","Adv Acct Info Systms","T","6:30 PM - 9:20 PM","Zhang, Yu","PH 112","3","20","In-Person",
"001","28378","ACCT 757 (3, 3)","Fed Taxation of Business Ent","W","6:30 PM - 9:20 PM","Balkaran, Dianand","PH 112","8","20","Hybrid Sync",
"001","27406","ACCT 760 (3, 3)","IRS Ethical Tax Prac &amp; Proc","M","6:30 PM - 9:20 PM","Barone, Ernest","PH 116","6","20","Hybrid Sync",
